nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat
Danièle Hoffman-Rispal,1951-06-22,75,6,parti socialiste,422.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Paul Jeanneteau,1957-10-14,49,1,union pour un mouvement populaire,320.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacques Alain Bénisti,1952-04-10,94,4,union pour un mouvement populaire,288.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Grellier,1947-05-17,79,4,parti socialiste,372.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Louis Touraine,1945-10-08,69,3,parti socialiste,560.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Apeleto Albert Likuvalu,1943-11-14,986,1,parti socialiste,558.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Annick Lepetit,1958-03-31,75,17,parti socialiste,450.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Yves Durand,1946-06-06,59,11,parti socialiste,475.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Louis Giscard d'Estaing,1958-10-20,63,3,union pour un mouvement populaire,286.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Joëlle Ceccaldi-Raynaud,1951-02-09,92,6,union pour un mouvement populaire,274.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Goulard,1953-09-21,56,1,union pour un mouvement populaire,255.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Deluga,1956-11-18,33,8,parti socialiste,404.0,3,"[2008, 2009, 2010, 2011, 2012]"
Michel Vaxès,1940-11-14,13,13,democratie et republique,589.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Manuel Valls,1962-08-13,91,1,parti socialiste,425.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François-Michel Gonnot,1949-04-15,60,6,union pour un mouvement populaire,258.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Asensi,1945-06-01,93,11,democratie et republique,586.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alain Joyandet,1954-01-15,70,1,union pour un mouvement populaire,263.0,2,"[2010, 2011, 2012]"
Armand Jung,1950-12-13,67,1,parti socialiste,472.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Cornut-Gentille,1958-05-22,52,2,union pour un mouvement populaire,94.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christophe Guilloteau,1958-06-18,69,10,union pour un mouvement populaire,349.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bernard Cazeneuve,1963-06-02,50,5,parti socialiste,555.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-Renée Oget,1945-01-26,22,4,parti socialiste,436.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Briand,1960-10-26,37,5,union pour un mouvement populaire,97.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Moscovici,1957-09-16,25,4,parti socialiste,430.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christiane Taubira,1952-02-02,973,1,parti socialiste,615.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Yves Deniaud,1946-09-01,61,1,union pour un mouvement populaire,100.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Frogier,1950-11-16,988,2,union pour un mouvement populaire,277.0,2,"[2007, 2008, 2009, 2010, 2011]"
Pierre Lasbordes,1946-05-13,91,5,union pour un mouvement populaire,333.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Vuilque,1956-01-29,08,2,parti socialiste,537.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Flory,1966-03-07,07,3,union pour un mouvement populaire,293.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christian Vanneste,1947-07-14,59,10,union pour un mouvement populaire,53.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Gosnat,1948-08-20,94,10,democratie et republique,578.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Vézinhet,1939-09-07,34,2,parti socialiste,462.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pascale Got,1961-04-01,33,5,parti socialiste,382.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Hunault,1960-02-14,44,6,nouveau centre,387.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Éric Ciotti,1965-09-28,06,1,union pour un mouvement populaire,269.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Guibal,1941-01-13,06,4,union pour un mouvement populaire,187.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bernard Perrut,1957-01-24,69,9,union pour un mouvement populaire,203.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michèle Tabarot,1962-10-13,06,9,union pour un mouvement populaire,98.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Nicolas Perruchot,1966-07-09,41,1,nouveau centre,376.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marie Sermier,1961-03-05,39,3,union pour un mouvement populaire,309.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc Dolez,1952-10-21,59,17,democratie et republique,595.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Buillard,1950-09-09,987,1,union pour un mouvement populaire,110.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacques Kossowski,1940-10-11,92,3,union pour un mouvement populaire,91.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacques Pélissard,1946-03-20,39,1,union pour un mouvement populaire,84.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Kucheida,1943-02-24,62,12,parti socialiste,507.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Ménard,1961-05-20,44,5,parti socialiste,604.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Sainte-Marie,1938-08-18,33,6,parti socialiste,518.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Daniel Fasquelle,1963-01-16,62,4,union pour un mouvement populaire,62.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Guy Delcourt,1947-07-13,62,13,parti socialiste,623.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Hollande,1954-08-12,19,1,parti socialiste,509.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Huguette Bello,1950-08-24,974,2,democratie et republique,596.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Louis Christ,1951-01-24,68,2,union pour un mouvement populaire,19.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Claude Bodin,1952-05-15,95,4,union pour un mouvement populaire,318.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Herbillon,1951-03-06,94,8,union pour un mouvement populaire,259.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Paul Charié,1952-04-25,45,5,union pour un mouvement populaire,248.0,1,"[2007, 2008, 2009]"
Christophe Caresche,1960-09-02,75,18,parti socialiste,448.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Catherine Génisson,1949-04-22,62,2,parti socialiste,496.0,2,"[2007, 2008, 2009, 2010, 2011]"
Christian Paul,1960-03-23,58,3,parti socialiste,502.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Loncle,1941-10-21,27,4,parti socialiste,526.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alain Marc,1957-01-29,12,3,union pour un mouvement populaire,30.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Franck Reynier,1965-10-20,26,2,union pour un mouvement populaire,241.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrice Martin-Lalande,1947-12-02,41,2,union pour un mouvement populaire,125.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gérard Gaudron,1949-05-26,93,10,union pour un mouvement populaire,240.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Laure de La Raudière,1965-02-12,28,3,union pour un mouvement populaire,322.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Germinal Peiro,1953-09-15,24,4,parti socialiste,444.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Mignon,1950-02-02,77,1,union pour un mouvement populaire,27.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Luc Préel,1940-10-30,85,1,nouveau centre,398.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Élisabeth Guigou,1946-08-06,93,9,parti socialiste,412.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Yves Censi,1964-02-08,12,1,union pour un mouvement populaire,79.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Patrick Gille,1962-01-28,37,1,parti socialiste,395.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Heinrich,1946-02-15,88,1,union pour un mouvement populaire,118.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alain Claeys,1948-08-25,86,1,parti socialiste,426.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Geneviève Levy,1948-02-24,83,1,union pour un mouvement populaire,312.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Delebarre,1946-04-27,59,13,parti socialiste,533.0,2,"[2007, 2008, 2009, 2010, 2011]"
Dominique Le Sourd,1950-11-15,60,7,union pour un mouvement populaire,41.0,2,"[2011, 2012]"
Yves Albarello,1952-03-17,77,7,union pour un mouvement populaire,225.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gaël Yanno,1961-07-02,988,1,union pour un mouvement populaire,237.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pascale Crozon,1944-05-29,69,6,parti socialiste,536.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Le Mèner,1958-11-12,72,5,union pour un mouvement populaire,205.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Brigitte Barèges,1953-05-01,82,1,union pour un mouvement populaire,188.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Céleste Lett,1951-05-07,57,5,union pour un mouvement populaire,222.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alfred Marie-Jeanne,1936-11-15,972,4,democratie et republique,591.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Ollier,1944-12-17,92,7,union pour un mouvement populaire,180.0,2,"[2007, 2008, 2009, 2010]"
Michel Zumkeller,1966-01-21,90,2,union pour un mouvement populaire,214.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrice Calméjane,1960-02-06,93,8,union pour un mouvement populaire,31.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Balkany,1948-08-16,92,5,union pour un mouvement populaire,80.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Olivier Dassault,1951-06-01,60,1,union pour un mouvement populaire,342.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Yves Le Bouillonnec,1950-09-15,94,11,parti socialiste,452.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Catherine Quéré,1948-03-16,17,3,parti socialiste,482.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Luc Pérat,1950-01-23,59,24,parti socialiste,627.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Leroy,1952-06-03,62,3,parti socialiste,527.0,2,"[2007, 2008, 2009, 2010, 2011]"
Yves Fromion,1941-09-15,18,1,union pour un mouvement populaire,249.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Michel Boucheron,1948-03-06,35,1,parti socialiste,539.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Cochet,1961-05-23,69,5,union pour un mouvement populaire,271.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alain Suguenot,1951-09-17,21,5,union pour un mouvement populaire,294.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jack Lang,1939-09-02,62,6,parti socialiste,419.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-François Chossy,1947-05-04,42,7,union pour un mouvement populaire,7.0,2,"[2007, 2008, 2009, 2010, 2011]"
Hervé Mariton,1958-11-05,26,3,union pour un mouvement populaire,78.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Labaune,1951-06-13,26,1,union pour un mouvement populaire,13.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Cécile Dumoulin,1966-11-10,78,8,union pour un mouvement populaire,226.0,2,"[2009, 2010, 2011, 2012]"
Jean-Jacques Gaultier,1963-07-13,88,4,union pour un mouvement populaire,117.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Meunier,1966-03-16,69,13,union pour un mouvement populaire,139.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Abelin,1950-09-03,86,4,nouveau centre,386.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Charles-Ange Ginesy,1956-05-14,06,5,union pour un mouvement populaire,138.0,4,"[2009, 2010]"
Colette Langlade,1956-06-20,24,3,parti socialiste,639.0,3,"[2008, 2009, 2010, 2011, 2012]"
Jean-Claude Lenoir,1944-12-27,61,2,union pour un mouvement populaire,257.0,3,"[2007, 2008, 2009, 2010, 2011]"
Jean-Pierre Brard,1948-02-07,93,7,democratie et republique,583.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre-Alain Muet,1945-01-01,69,2,parti socialiste,549.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Charles de Courson,1952-04-02,51,5,nouveau centre,377.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Thierry Carcenac,1950-12-19,81,2,parti socialiste,458.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Nicole Ameline,1952-07-04,14,4,union pour un mouvement populaire,87.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Didier Gonzales,1960-09-14,94,3,union pour un mouvement populaire,152.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gilbert Le Bris,1949-03-03,29,8,parti socialiste,607.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Paul Bacquet,1949-03-11,63,4,parti socialiste,411.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bruno Le Roux,1965-05-02,93,1,parti socialiste,421.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacques Lamblin,1952-08-29,54,4,union pour un mouvement populaire,38.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marylise Lebranchu,1947-04-25,29,4,parti socialiste,500.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacques Remiller,1941-04-13,38,8,union pour un mouvement populaire,356.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Valérie Rosso-Debord,1971-11-29,54,3,union pour un mouvement populaire,144.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Muriel Marland-Militello,1943-07-30,06,2,union pour un mouvement populaire,207.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc Joulaud,1967-09-03,72,4,union pour un mouvement populaire,273.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Mathis,1939-08-15,10,2,union pour un mouvement populaire,220.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Guénhaël Huet,1956-07-30,50,2,union pour un mouvement populaire,149.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Dufau,1943-07-05,40,2,parti socialiste,362.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Sylvie Andrieux,1961-12-15,13,7,parti socialiste,523.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Folliot,1963-07-14,81,3,nouveau centre,389.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Bussereau,1952-07-13,17,4,union pour un mouvement populaire,90.0,2,"[2010, 2011, 2012]"
Marie-Lou Marcel,1953-08-21,12,2,parti socialiste,570.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Lamy,1959-10-31,91,6,parti socialiste,497.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gilbert Mathon,1941-05-07,80,4,parti socialiste,478.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Maxime Bono,1947-11-01,17,1,parti socialiste,456.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Nicolas Forissier,1961-02-17,36,2,union pour un mouvement populaire,344.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jérôme Chartier,1966-11-14,95,7,union pour un mouvement populaire,95.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Roland Blum,1945-07-12,13,1,union pour un mouvement populaire,112.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Gorges,1953-08-03,28,1,union pour un mouvement populaire,340.0,3,"[2008, 2009, 2010, 2011, 2012]"
Hervé Féron,1956-08-03,54,2,parti socialiste,645.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alfred Almont,1944-09-15,972,2,union pour un mouvement populaire,123.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Yves Bony,1955-03-11,15,2,union pour un mouvement populaire,17.0,3,"[2007, 2008, 2009, 2010]"
Jean-Claude Fruteau,1947-06-06,974,5,parti socialiste,561.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gabrielle Louis-Carabin,1946-02-20,971,2,union pour un mouvement populaire,127.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
René-Paul Victoria,1954-08-27,974,1,union pour un mouvement populaire,111.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Hervé Novelli,1949-03-06,37,4,union pour un mouvement populaire,86.0,4,"[2010, 2011, 2012]"
Rudy Salles,1954-07-30,06,3,nouveau centre,385.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Diefenbacher,1947-07-15,47,2,union pour un mouvement populaire,128.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Éric Diard,1965-07-21,13,12,union pour un mouvement populaire,234.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Destot,1946-09-02,38,3,parti socialiste,543.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Francis Saint-Léger,1957-02-22,48,1,union pour un mouvement populaire,227.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-Louise Fort,1950-12-03,89,3,union pour un mouvement populaire,230.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Georges Mothron,1948-04-05,95,5,union pour un mouvement populaire,89.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Monique Iborra,1945-03-08,31,6,parti socialiste,463.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Guy Chambefort,1944-10-14,03,1,parti socialiste,650.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Issindou,1952-07-12,38,2,parti socialiste,483.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Yves Bur,1951-03-10,67,4,union pour un mouvement populaire,178.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Michel Clément,1954-10-31,86,3,parti socialiste,612.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marie Rolland,1950-09-25,89,2,union pour un mouvement populaire,300.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Georges Tron,1957-08-01,91,9,union pour un mouvement populaire,370.0,3,"[2011, 2012]"
Gérard Voisin,1945-08-18,71,1,union pour un mouvement populaire,44.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Beaulieu,1944-06-24,17,4,union pour un mouvement populaire,26.0,2,"[2007, 2008, 2009, 2010]"
Pierre Bourguignon,1942-02-06,76,3,parti socialiste,520.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacqueline Irles,1957-05-24,66,4,union pour un mouvement populaire,158.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Olivier Jardé,1953-03-28,80,2,nouveau centre,400.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Chassaigne,1950-07-02,63,5,democratie et republique,594.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Michel Villaumé,1946-03-27,70,2,parti socialiste,567.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Goujon,1954-04-30,75,12,union pour un mouvement populaire,232.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Roatta,1941-12-13,13,3,union pour un mouvement populaire,80.0,2,"[2007, 2008, 2009, 2010, 2011]"
Serge Blisko,1950-01-06,75,10,parti socialiste,547.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Paul Garraud,1956-02-27,33,10,union pour un mouvement populaire,6.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Arnaud Montebourg,1962-10-30,71,6,parti socialiste,503.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Émile Blessig,1947-05-27,67,7,union pour un mouvement populaire,193.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc Vampa,1946-06-08,27,3,nouveau centre,391.0,3,"[2007, 2008, 2009, 2010]"
Olivier Dussopt,1978-08-16,07,2,parti socialiste,381.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Serge Grouard,1959-03-19,45,2,union pour un mouvement populaire,190.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Nicolas Dhuicq,1960-11-29,10,1,union pour un mouvement populaire,239.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Louis Guédon,1935-11-28,85,3,union pour un mouvement populaire,213.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marc Nesme,1943-03-23,71,2,union pour un mouvement populaire,336.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marcel Rogemont,1948-01-03,35,3,parti socialiste,479.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Monique Boulestin,1951-03-13,87,1,parti socialiste,610.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marguerite Lamour,1956-06-12,29,3,union pour un mouvement populaire,129.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bernard Roman,1952-07-15,59,1,parti socialiste,510.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bertrand Pancher,1958-06-05,55,1,union pour un mouvement populaire,326.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Henri Cuq,1942-03-12,78,9,union pour un mouvement populaire,85.0,1,"[2007, 2008, 2009, 2010]"
Sophie Primas,1962-06-07,78,9,union pour un mouvement populaire,47.0,3,"[2010, 2011]"
Patricia Adam,1953-04-15,29,2,parti socialiste,424.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Didier Mathus,1952-05-25,71,4,parti socialiste,524.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Santini,1940-10-20,92,10,nouveau centre,366.0,3,"[2009, 2010, 2011, 2012]"
Denis Jacquat,1944-05-29,57,2,union pour un mouvement populaire,135.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Martine Faure,1948-09-30,33,9,parti socialiste,642.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marc Lefranc,1947-02-20,14,5,union pour un mouvement populaire,109.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Albert Facon,1943-11-11,62,14,parti socialiste,512.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Hervé Gaymard,1960-05-31,73,2,union pour un mouvement populaire,170.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Raimbourg,1950-04-28,44,4,parti socialiste,480.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Renaud Muselier,1959-05-06,13,5,union pour un mouvement populaire,96.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Corinne Erhel,1967-02-03,22,5,parti socialiste,565.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Loïc Bouvard,1929-01-20,56,4,union pour un mouvement populaire,250.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Cohen,1950-03-20,31,3,parti socialiste,542.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-Françoise Pérol-Dumont,1952-05-26,87,3,parti socialiste,428.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc Laffineur,1945-08-10,49,7,union pour un mouvement populaire,254.0,2,"[2007, 2008, 2009, 2010, 2011]"
